id,title,authors,year,categories,abstract,pdf_url,matched_terms,relevance_prob,query_type
2407.16734v1,"Real time detection of C reactive protein in interstitial fluid using electrochemical impedance spectroscopy, towards wearable health monitoring","Aristea Grammoustianou, Ali Saeidi, Johan Longo, Felix Risch, Adrian M. Ionescu",2024,"physics.med-ph, physics.app-ph","Traditional detection methods of C-reactive protein (CRP) inflammation biomarker, in blood are expensive, time-consuming and labor-intensive. Such existing point-of-care CRP detection devices remain invasive, since they need blood sampling (finger-pricking or venous puncture). Here, we propose an electrochemical impedance spectroscopy (EIS)-based sensor for the real-time, fast, specific, sensitive, and label-free detection of C-reactive protein in the interstitial fluid (ISF) that can be accessed with minimally invasive microneedle arrays. The sensor has the potential to be integrated in a wearable device similar with the continuous glucose monitoring, that will detect CRP in interstitial fluid in a non-invasive, inexpensive and straightforward manner. The affinity based assay was tested in both buffer and ISF-like solution. The limit of detection achieved was 0.7 ug/mL of CRP in buffer, and 0.8 ug/mL of CRP in ISF-like solution and the sensor shows excellent linearity up to 10 ug/mL. It is worth noting that the proposed sensor operates in low sample volume (down to 5 uL), and has a response time of 100 seconds.",https://arxiv.org/pdf/2407.16734v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, AI, ML, DL",52.73,
2510.17835v1,Robust interpretation of electrochemical impedance spectra using numerical complex analysis,"Jithin D. George, Willa Brenneis, Vinod K. Sangwan, Dilara Meli, Heather Kurtz, Jeffrey Richards, Lincoln J. Lauhon, Jonathan Rivnay, Mark C. Hersam, Jeffrey Lopez, Maria K. Y. Chan, Valerie Taylor",2025,"physics.app-ph, eess.SY, math.CV, physics.data-an","Electrochemical Impedance Spectroscopy (EIS) is a non-invasive technique widely used for understanding charge transfer and charge transport processes in electrochemical systems and devices. Standard approaches for the interpretation of EIS data involve starting with a hypothetical circuit model for the physical processes in the device based on experience/intuition, and then fitting the EIS data to this circuit model. This work explores a mathematical approach for extracting key characteristic features from EIS data by relying on fundamental principles of complex analysis. These characteristic features can ascertain the presence of inductors and constant phase elements (non-ideal capacitors) in circuit models and enable us to answer questions about the identifiability and uniqueness of equivalent circuit models. In certain scenarios such as models with only resistors and capacitors, we are able to enumerate all possible families of circuit models. Finally, we apply the mathematical framework presented here to real-world electrochemical systems and highlight results using impedance measurements from a lithium-ion battery coin cell.",https://arxiv.org/pdf/2510.17835v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, impedance measurement, electrochemical impedance, impedance spectroscopy, electrochemical system, AI",52.73,
2404.11224v2,Analytical results for uncertainty propagation through trained machine learning regression models,Andrew Thompson,2024,"cs.LG, stat.ML","Machine learning (ML) models are increasingly being used in metrology applications. However, for ML models to be credible in a metrology context they should be accompanied by principled uncertainty quantification. This paper addresses the challenge of uncertainty propagation through trained/fixed machine learning (ML) regression models. Analytical expressions for the mean and variance of the model output are obtained/presented for certain input data distributions and for a variety of ML models. Our results cover several popular ML models including linear regression, penalised linear regression, kernel ridge regression, Gaussian Processes (GPs), support vector machines (SVMs) and relevance vector machines (RVMs). We present numerical experiments in which we validate our methods and compare them with a Monte Carlo approach from a computational efficiency point of view. We also illustrate our methods in the context of a metrology application, namely modelling the state-of-health of lithium-ion cells based upon Electrical Impedance Spectroscopy (EIS) data",https://arxiv.org/pdf/2404.11224v2,"EIS, impedance spectroscopy, impedance spectroscopy, Machine Learning, SVM, Gaussian Process, AI, ML, regression",52.73,
1312.7003v1,Supervised learning of a regression model based on latent process. Application to the estimation of fuel cell life time,"Raïssa Onanena, Faicel Chamroukhi, Latifa Oukhellou, Denis Candusso, Patrice Aknin, Daniel Hissel",2013,"stat.ML, cs.LG, stat.AP","This paper describes a pattern recognition approach aiming to estimate fuel cell duration time from electrochemical impedance spectroscopy measurements. It consists in first extracting features from both real and imaginary parts of the impedance spectrum. A parametric model is considered in the case of the real part, whereas regression model with latent variables is used in the latter case. Then, a linear regression model using different subsets of extracted features is used fo r the estimation of fuel cell time duration. The performances of the proposed approach are evaluated on experimental data set to show its feasibility. This could lead to interesting perspectives for predictive maintenance policy of fuel cell.",https://arxiv.org/pdf/1312.7003v1,"Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectrum, impedance spectroscopy, AI, regression",52.73,
2107.06177v1,Impedance-based Capacity Estimation for Lithium-Ion Batteries Using Generative Adversarial Network,"Seongyoon Kim, Yun Young Choi, Jung-Il Choi",2021,"eess.SP, physics.chem-ph","This paper proposes a fully unsupervised methodology for the reliable extraction of latent variables representing the characteristics of lithium-ion batteries (LIBs) from electrochemical impedance spectroscopy (EIS) data using information maximizing generative adversarial networks. Meaningful representations can be obtained from EIS data even when measured with direct current and without relaxation, which are difficult to express when using circuit models. The extracted latent variables were investigated as capacity degradation progressed and were used to estimate the discharge capacity of the batteries by employing Gaussian process regression. The proposed method was validated under various conditions of EIS data during charging and discharging. The results indicate that the proposed model provides more robust capacity estimations than the direct capacity estimations obtained from EIS. We demonstrate that the latent variables extracted from the EIS data measured with direct current and without relaxation reliably represent the degradation characteristics of LIBs.",https://arxiv.org/pdf/2107.06177v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, Gaussian Process, AI, regression",52.73,
2202.00526v1,Electrochemical characterisation of ionic dynamics resulting from spin conversion of water isomers,Serge Kernbach,2022,physics.chem-ph,"Para- and ortho- isomers of water have different chemical and physical properties. Excitations by magnetic field, laser emission or hydrodynamic cavitation are reported to change energetic levels and spin configurations of water molecules that in turn change macroscopically measurable properties of aqueous solutions. Similar scheme is also explored for dissolved molecular oxygen, where physical excitations form singlet oxygen with different spin configurations and generate a long chain of ionic and free-radical reactions. This work utilizes electrochemical impedance spectroscopy (EIS) to characterize ionic dynamics of proposed spin conversion methods applied to dissolving of carbon dioxide CO$_2$ and hydrogen peroxide H$_2$O$_2$ in pure water excited by fluctuating weak magnetic field in uT range. Measurement results demonstrate different ionic reactivities and surface tension effects triggered by excitations at 10$^{-8}$J/mL. The CO$_2$- and O$_2$-related reaction pathways are well distinguishable by EIS. Control experiments without CO$_2$/H$_2$O$_2$ input show no significant effects. Dynamics of electrochemical impedances and temperature of fluids indicates anomalous quasi-periodical fluctuations pointing to possible carbonate-induced cyclic reactions or cyclical spin conversion processes. This approach can underlay development of affordable sensors operating with spin conversion technologies.",https://arxiv.org/pdf/2202.00526v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, AI, ML",52.73,
2204.08886v1,Cell barrier characterization in transwell inserts by electrical impedance spectroscopy,"Georg Linz, Suzana Djeljadini, Lea Steinbeck, Gurbet Köse, Fabian Kiessling, Matthias Wessling",2022,physics.app-ph,"We describe an impedance-based method for cell barrier integrity testing. A four-electrode electrical impedance spectroscopy (EIS) setup can be realized by simply connecting a commercial chopstick-like electrode (STX-1) to a potentiostat allowing monitoring cell barriers cultivated in transwell inserts. Subsequent electric circuit modeling of the electrical impedance results the capacitive properties of the barrier next to the well-known transepithelial electrical resistance (TEER). The versatility of the new method was analyzed by the EIS analysis of a Caco-2 monolayer in response to (a) different membrane coating materials, (b) two different permeability enhancers ethylene glycol-bis(2-aminoethylether)-N,N,N',N'-tetraacetic acid (EGTA) and saponin, and (c) sonoporation. For the different membrane coating materials, the TEERs of the standard and new protocol coincide and increase during cultivation, while the capacitance shows a distinct maximum for three different surface materials (no coating, Matrigel, and collagen I). The permeability enhancers cause a decline in the TEER value, but only saponin alters the capacitance of the cell layer by two orders of magnitude. Hence, cell layer capacitance and TEER represent two independent properties characterizing the monolayer. The use of commercial chopstick-like electrodes to access the impedance of a barrier cultivated in transwell inserts enables remarkable insight into the behavior of the cellular barrier with no extra work for the researcher. This simple method could evolve into a standard protocol used in cell barrier research.",https://arxiv.org/pdf/2204.08886v1,"EIS, impedance spectroscopy, impedance spectroscopy",52.73,
2009.13501v2,"EIS -- a family of activation functions combining Exponential, ISRU, and Softplus","Koushik Biswas, Sandeep Kumar, Shilpak Banerjee, Ashish Kumar Pandey",2020,"cs.LG, cs.CV, cs.NE","Activation functions play a pivotal role in the function learning using neural networks. The non-linearity in the learned function is achieved by repeated use of the activation function. Over the years, numerous activation functions have been proposed to improve accuracy in several tasks. Basic functions like ReLU, Sigmoid, Tanh, or Softplus have been favorite among the deep learning community because of their simplicity. In recent years, several novel activation functions arising from these basic functions have been proposed, which have improved accuracy in some challenging datasets. We propose a five hyper-parameters family of activation functions, namely EIS, defined as, \[ \frac{x(\ln(1+e^x))^α}{\sqrt{β+γx^2}+δe^{-θx}}. \] We show examples of activation functions from the EIS family which outperform widely used activation functions on some well known datasets and models. For example, $\frac{x\ln(1+e^x)}{x+1.16e^{-x}}$ beats ReLU by 0.89\% in DenseNet-169, 0.24\% in Inception V3 in CIFAR100 dataset while 1.13\% in Inception V3, 0.13\% in DenseNet-169, 0.94\% in SimpleNet model in CIFAR10 dataset. Also, $\frac{x\ln(1+e^x)}{\sqrt{1+x^2}}$ beats ReLU by 1.68\% in DenseNet-169, 0.30\% in Inception V3 in CIFAR100 dataset while 1.0\% in Inception V3, 0.15\% in DenseNet-169, 1.13\% in SimpleNet model in CIFAR10 dataset.",https://arxiv.org/pdf/2009.13501v2,"EIS, Deep Learning, Neural Network",52.73,
2512.01294v1,"Experimental Methods, Health Indicators, and Diagnostic Strategies for Retired Lithium-ion Batteries: A Comprehensive Review","Song Zhang, Ruohan Guo, Xiaohua Ge, Perter Mahon, Weixiang Shen",2025,"eess.SP, cs.LG","Reliable health assessment of retired lithium-ion batteries is essential for safe and economically viable second-life deployment, yet remains difficult due to sparse measurements, incomplete historical records, heterogeneous chemistries, and limited or noisy battery health labels. Conventional laboratory diagnostics, such as full charge-discharge cycling, pulse tests, Electrochemical Impedance Spectroscopy (EIS) measurements, and thermal characterization, provide accurate degradation information but are too time-consuming, equipment-intensive, or condition-sensitive to be applied at scale during retirement-stage sorting, leaving real-world datasets fragmented and inconsistent. This review synthesizes recent advances that address these constraints through physical health indicators, experiment testing methods, data-generation and augmentation techniques, and a spectrum of learning-based modeling routes spanning supervised, semi-supervised, weakly supervised, and unsupervised paradigms. We highlight how minimal-test features, synthetic data, domain-invariant representations, and uncertainty-aware prediction enable robust inference under limited or approximate labels and across mixed chemistries and operating histories. A comparative evaluation further reveals trade-offs in accuracy, interpretability, scalability, and computational burden. Looking forward, progress toward physically constrained generative models, cross-chemistry generalization, calibrated uncertainty estimation, and standardized benchmarks will be crucial for building reliable, scalable, and deployment-ready health prediction tools tailored to the realities of retired-battery applications.",https://arxiv.org/pdf/2512.01294v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, AI, prediction",52.73,
1908.07849v1,Semi-supervised Sequence Modeling for Elastic Impedance Inversion,"Motaz Alfarraj, Ghassan AlRegib",2019,"physics.geo-ph, cs.LG, eess.SP, stat.ML","Recent applications of machine learning algorithms in the seismic domain have shown great potential in different areas such as seismic inversion and interpretation. However, such algorithms rarely enforce geophysical constraints - the lack of which might lead to undesirable results. To overcome this issue, we have developed a semi-supervised sequence modeling framework based on recurrent neural networks for elastic impedance inversion from multi-angle seismic data. Specifically, seismic traces and elastic impedance (EI) traces are modeled as a time series. Then, a neural-network-based inversion model comprising convolutional and recurrent neural layers is used to invert seismic data for EI. The proposed workflow uses well-log data to guide the inversion. In addition, it uses seismic forward modeling to regularize the training and to serve as a geophysical constraint for the inversion. The proposed workflow achieves an average correlation of 98% between the estimated and target EI using 10 well logs for training on a synthetic data set.",https://arxiv.org/pdf/1908.07849v1,"EIS, Machine Learning, Neural Network, AI, recurrent neural network",52.73,
2310.19298v1,Interfacial Tension Hysteresis of Eutectic Gallium-Indium,"Keith D. Hillaire, Praneshnandan Nithyanandam, Minyung Song, Sahar Rashid Nadimi, Abolfazl Kiani, Michael D. Dickey, Karen E. Daniels",2023,"cond-mat.mtrl-sci, physics.app-ph","When in a pristine state, gallium and its alloys have the largest interfacial tensions of any liquid at room temperature. Nonetheless, applying as little as 0.8 V of electric potential across eutectic gallium indium (EGaIn) placed within aqueous NaOH (or other electrolyte) solution will cause the metal to behave as if its interfacial tension is near zero. The mechanism behind this phenomenon has remained poorly understood because NaOH dissolves the oxide species, making it difficult to directly measure the concentration, thickness, or chemical composition of the film that forms at the interface. In addition, the oxide layers formed are atomically-thin. Here, we present a suite of techniques which allow us to simultaneously measure both electrical and interfacial properties as a function of applied electric potential, allowing for new insights into the mechanisms which cause the dramatic decrease in interfacial tension. A key discovery from this work is that the interfacial tension displays hysteresis while lowering the applied potential. We combine these observations with electrochemical impedance spectroscopy to evaluate how these changes in interfacial tension arise from chemical, electrical, and mechanical changes on the interface, and close with ideas for how to build a free energy model to predict these changes from first principles.",https://arxiv.org/pdf/2310.19298v1,"Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, AI",52.73,
2505.10572v1,Electrochemical performance and diffusion kinetics of a NASICON type Na$_{3.3}$Mn$_{1.2}$Ti$_{0.75}$Mo$_{0.05}$(PO$_4$)$_3$/C cathode for low-cost sodium-ion batteries,"Madhav Sharma, Rajendra S. Dhaka",2025,"physics.chem-ph, cond-mat.mtrl-sci","We report the electrochemical performance and diffusion kinetics of a newly designed NASICON type Na$_{3.3}$Mn$_{1.2}$Ti$_{0.75}$Mo$_{0.05}$(PO$_4$)$_3$/C composite material as a cathode for cost-effective sodium-ion batteries. A novel strategy of small Mo doping successfully stabilizes the sample having high Mn content in single phase rhombohedral symmerty. The high-resolution microscopy analysis reveals nanocrystallites of around $\sim$18 nm, uniformly embedded within the semi-graphitic carbon matrix, which enhances the surface electronic conductivity and effectively shortens the sodium-ion diffusion path. More importantly, we demonstrate a stable electrochemical behavior, with enhanced discharge capacity of 124 mAh/g at 0.1 C, having good reversibility and retaining 77\% of its capacity after 300 cycles, and 70\% even after 400 cycles at 2 C. The sodium-ion diffusion coefficients, estimated using both galvanostatic intermittent titration technique (GITT) and cyclic voltammetry are found to lie within the range of $10^{-9}$ to $10^{-11}$~cm$^2$/s. Additionally, the bond-valence site energy mapping predicted a sodium-ion migration energy barrier of 0.76 eV. A detailed distribution of relaxation times (DRT) analysis is used to deconvolute the electrochemical impedance spectra into distinct processes based on their characteristic relaxation times. Notably, the solid-state diffusion of sodium ions within the bulk electrode, with a relaxation time of $\sim$50 s, shows a consistent trend with the diffusion coefficients obtained from GITT and Warburg-based evaluations across the state of charge.",https://arxiv.org/pdf/2505.10572v1,"Impedance Spectra, electrochemical impedance, electrochemical impedance, AI, ML",52.73,
